timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681927121749,29,https://reqres.in/api/unknown/2,200,OK,CRUD Operations 3-6,text,true,,949,372,11,31,https://reqres.in/api/unknown/2,29,0,0
1681927121749,29,Get Single <Resource>,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-6,,true,,949,372,11,31,null,29,1,0
1681927121649,353,https://reqres.in/api/users/2,200,OK,CRUD Operations 3-8,text,true,,743,431,13,35,https://reqres.in/api/users/2,352,0,0
1681927121649,353,Update User,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-8,,true,,743,431,13,35,null,352,0,0
1681927121646,358,https://reqres.in/api/users/2,200,OK,CRUD Operations 3-9,text,true,,731,431,13,35,https://reqres.in/api/users/2,358,0,0
1681927121646,358,Update User,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-9,,true,,731,431,13,35,null,358,0,0
1681927121620,384,https://reqres.in/api/register,400,Bad Request,Exception Paths Group 2-1,text,false,,702,415,7,35,https://reqres.in/api/register,384,0,0
1681927121620,384,Register User,,"Number of samples in transaction : 1, number of failing samples : 1",Exception Paths Group 2-1,,false,,702,415,7,35,null,384,1,0
1681927121681,331,https://reqres.in/api/users,201,Created,CRUD Operations 3-10,text,true,,748,423,13,35,https://reqres.in/api/users,331,0,0
1681927121681,331,Create User,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-10,,true,,748,423,13,35,null,331,1,0
1681927121685,341,https://reqres.in/api/users,201,Created,CRUD Operations 3-3,text,true,,742,423,16,38,https://reqres.in/api/users,341,0,0
1681927121683,341,Create User,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-3,,true,,742,423,16,38,null,341,2,0
1681927121710,365,https://reqres.in/api/register,400,Bad Request,Exception Paths Group 2-2,text,false,,694,415,7,38,https://reqres.in/api/register,365,0,0
1681927121709,365,Register User,,"Number of samples in transaction : 1, number of failing samples : 1",Exception Paths Group 2-2,,false,,694,415,7,38,null,365,2,0
1681927121731,350,https://reqres.in/api/users/2,200,OK,CRUD Operations 3-2,text,true,,739,431,16,38,https://reqres.in/api/users/2,350,0,0
1681927121730,350,Update User,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-2,,true,,739,431,16,38,null,350,2,0
1681927121739,343,https://reqres.in/api/users/2,200,OK,CRUD Operations 3-5,text,true,,743,431,16,38,https://reqres.in/api/users/2,343,0,0
1681927121739,343,Update User,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-5,,true,,743,431,16,38,null,343,0,0
1681927121723,360,https://reqres.in/api/users/2,200,OK,CRUD Operations 3-4,text,true,,735,431,16,38,https://reqres.in/api/users/2,360,0,0
1681927121723,360,Update User,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-4,,true,,735,431,16,38,null,360,1,0
1681927121734,367,https://reqres.in/api/users/2,200,OK,CRUD Operations 3-7,text,true,,733,431,16,38,https://reqres.in/api/users/2,367,0,0
1681927121734,367,Update User,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-7,,true,,733,431,16,38,null,367,1,0
1681927121776,332,https://reqres.in/api/register,400,Bad Request,Exception Paths Group 2-5,text,false,,686,415,7,38,https://reqres.in/api/register,332,0,0
1681927121775,332,Register User,,"Number of samples in transaction : 1, number of failing samples : 1",Exception Paths Group 2-5,,false,,686,415,7,38,null,332,1,0
1681927121779,331,https://reqres.in/api/users,201,Created,CRUD Operations 3-6,text,true,,744,423,16,38,https://reqres.in/api/users,330,0,0
1681927121779,331,Create User,200,"Number of samples in transaction : 1, number of failing samples : 0",CRUD Operations 3-6,,true,,744,423,16,38,null,330,0,0
1681927121748,389,https://reqres.in/api/users/2,200,OK,CRUD Operations 3-1,text,true,,735,431,16,39,https://reqres.in/api/users/2,389,0,0
